,feature_code,x,y,z
210367,701,5056538.157,2359008.682,1795.035
210368,701,5056538.237,2359008.753,1794.987
210369,701,5056538.341,2359008.829,1795.207
210370,701,5056538.424,2359008.889,1794.992
210241,701,5056538.975,2359008.982,1795.456
210242,701,5056539.068,2359009.059,1795.512
210508,701,5056538.325,2359009.07,1795.247
210244,701,5056539.161,2359009.129,1795.557
210509,701,5056538.401,2359009.14,1795.313
210245,701,5056539.253,2359009.207,1795.601
210510,701,5056538.495,2359009.21,1795.312
210511,701,5056538.565,2359009.267,1794.995
210371,701,5056538.912,2359009.278,1795.531
210246,701,5056539.346,2359009.28,1795.635
210373,701,5056538.972,2359009.325,1794.981
210512,701,5056538.658,2359009.341,1795.053
210247,701,5056539.442,2359009.351,1795.548
210513,701,5056538.752,2359009.411,1795.023
210248,701,5056539.523,2359009.418,1795.439
210249,701,5056539.603,2359009.481,1795.374
210250,701,5056539.698,2359009.556,1795.295
210515,701,5056538.987,2359009.589,1795.661
210251,701,5056539.778,2359009.618,1795.223
210452,701,5056538.709,2359009.653,1795.549
210316,701,5056539.065,2359009.659,1795.672
210374,701,5056539.452,2359009.679,1798.501
210308,701,5056540.228,2359009.682,1796.036
210252,701,5056539.917,2359009.722,1795.981
210453,701,5056538.802,2359009.726,1795.603
210375,701,5056539.532,2359009.746,1798.408
210309,701,5056540.32,2359009.751,1796.103
210254,701,5056539.954,2359009.76,1795.045
210454,701,5056538.91,2359009.804,1795.649
210376,701,5056539.627,2359009.817,1798.348
210310,701,5056540.412,2359009.829,1796.161
210317,701,5056539.326,2359009.843,1798.549
210253,701,5056540.088,2359009.851,1797.348
210379,701,5056539.668,2359009.863,1795.956
210455,701,5056538.99,2359009.871,1795.558
210377,701,5056539.698,2359009.878,1798.007
210311,701,5056540.505,2359009.898,1796.2
210255,701,5056540.171,2359009.915,1797.157
210318,701,5056539.42,2359009.917,1798.548
210456,701,5056539.082,2359009.94,1795.644
210378,701,5056539.801,2359009.954,1798.273
210258,701,5056540.221,2359009.971,1794.994
210312,701,5056540.597,2359009.975,1796.306
210319,701,5056539.497,2359009.983,1798.57
210256,701,5056540.261,2359009.988,1797.305
210382,701,5056539.854,2359010.006,1796.023
210457,701,5056539.177,2359010.014,1795.61
210380,701,5056539.879,2359010.024,1798.261
210313,701,5056540.681,2359010.04,1796.06
210320,701,5056539.593,2359010.054,1798.5
210257,701,5056540.339,2359010.058,1797.296
210314,701,5056540.721,2359010.075,1795.005
210381,701,5056539.975,2359010.09,1798.204
210321,701,5056539.674,2359010.121,1798.395
210259,701,5056540.434,2359010.128,1797.258
210383,701,5056540.055,2359010.153,1798.115
210261,701,5056540.473,2359010.159,1796.256
210315,701,5056540.832,2359010.164,1795.587
210260,701,5056540.529,2359010.195,1797.218
210384,701,5056540.135,2359010.224,1798.026
210192,701,5056540.917,2359010.225,1795.31
210458,701,5056539.474,2359010.236,1797.608
210322,701,5056539.821,2359010.244,1796.122
210262,701,5056540.607,2359010.269,1797.203
210193,701,5056540.986,2359010.289,1795.059
210385,701,5056540.231,2359010.295,1797.942
210323,701,5056539.936,2359010.334,1796.545
210263,701,5056540.701,2359010.339,1797.196
210194,701,5056541.08,2359010.355,1795.017
210459,701,5056539.626,2359010.365,1797.132
210386,701,5056540.312,2359010.366,1797.837
210387,701,5056540.318,2359010.371,1796.234
210264,701,5056540.796,2359010.413,1797.169
210388,701,5056540.375,2359010.424,1795.819
210195,701,5056541.175,2359010.43,1795.004
210460,701,5056539.761,2359010.467,1798.037
210267,701,5056540.863,2359010.473,1794.989
210265,701,5056540.89,2359010.48,1797.146
210196,701,5056541.248,2359010.488,1794.54
210389,701,5056540.49,2359010.515,1796.229
210324,701,5056540.187,2359010.522,1797.844
210461,701,5056539.84,2359010.533,1797.968
210325,701,5056540.193,2359010.539,1796.245
210266,701,5056540.958,2359010.54,1796.939
210269,701,5056540.946,2359010.541,1794.778
210197,701,5056541.317,2359010.552,1794.273
210390,701,5056540.539,2359010.555,1795.498
210601,701,5056539.403,2359010.577,1795.995
210462,701,5056539.936,2359010.604,1797.915
210268,701,5056541.049,2359010.617,1797.02
210198,701,5056541.41,2359010.622,1794.319
210602,701,5056539.495,2359010.654,1796.08
210327,701,5056540.334,2359010.657,1795.561
210463,701,5056540.015,2359010.667,1797.841
210465,701,5056540.022,2359010.679,1796.229
210199,701,5056541.515,2359010.698,1794.508
210207,701,5056541.938,2359010.724,1793.111
210326,701,5056540.444,2359010.727,1797.542
210603,701,5056539.588,2359010.728,1796.109
210464,701,5056540.096,2359010.738,1797.735
210466,701,5056540.092,2359010.74,1795.917
210391,701,5056540.825,2359010.764,1797.273
210200,701,5056541.605,2359010.775,1794.663
210328,701,5056540.488,2359010.778,1794.995
210604,701,5056539.692,2359010.804,1796.326
210270,701,5056541.286,2359010.806,1796.271
210393,701,5056540.859,2359010.812,1794.508
210201,701,5056541.69,2359010.835,1794.375
210329,701,5056540.582,2359010.848,1795.004
210605,701,5056539.772,2359010.871,1796.237
210467,701,5056540.303,2359010.894,1796.235
210271,701,5056541.415,2359010.895,1796.749
210394,701,5056540.973,2359010.898,1794.994
210392,701,5056540.987,2359010.898,1797.063
210550,701,5056539.648,2359010.914,1796.204
210395,701,5056541.025,2359010.94,1794.104
210606,701,5056539.866,2359010.945,1796.226
210272,701,5056541.495,2359010.958,1796.676
210276,701,5056541.513,2359010.989,1793.248
210468,701,5056540.411,2359010.993,1795.001
210607,701,5056539.959,2359011.011,1796.264
210273,701,5056541.576,2359011.025,1796.567
210331,701,5056540.832,2359011.048,1794.33
210275,701,5056541.597,2359011.049,1795.028
62804,701,5056542.353,2359011.059,1792.058
210330,701,5056540.862,2359011.066,1797.044
210274,701,5056541.657,2359011.092,1796.465
210608,701,5056540.062,2359011.098,1796.576
210470,701,5056540.576,2359011.121,1794.595
210277,701,5056541.752,2359011.159,1796.408
210609,701,5056540.154,2359011.171,1796.652
210551,701,5056539.975,2359011.176,1795.6
210278,701,5056541.784,2359011.189,1795.026
62844,701,5056542.135,2359011.204,1792.058
210469,701,5056540.691,2359011.207,1797.036
210471,701,5056540.692,2359011.211,1795.015
210552,701,5056540.049,2359011.231,1795.114
210610,701,5056540.238,2359011.236,1796.395
210396,701,5056541.422,2359011.237,1796.493
210473,701,5056540.745,2359011.253,1794.073
210611,701,5056540.255,2359011.258,1794.993
62808,701,5056542.617,2359011.259,1791.471
63108,701,5056541.845,2359011.26,1792.434
210332,701,5056541.119,2359011.267,1796.767
210397,701,5056541.441,2359011.268,1793.037
210279,701,5056541.928,2359011.3,1796.239
210553,701,5056540.141,2359011.308,1795.195
62810,701,5056542.687,2359011.319,1791.181
210613,701,5056540.36,2359011.331,1795.207
210472,701,5056540.883,2359011.348,1796.869
210612,701,5056540.399,2359011.366,1796.19
210280,701,5056542.022,2359011.375,1796.233
210554,701,5056540.247,2359011.384,1795.339
62612,701,5056542.771,2359011.388,1790.913
210202,701,5056542.392,2359011.397,1793.746
210398,701,5056541.606,2359011.403,1792.658
62573,701,5056543.144,2359011.411,1790.347
210614,701,5056540.492,2359011.443,1796.231
210281,701,5056542.1,2359011.445,1796.234
62912,701,5056542.096,2359011.456,1791.736
62613,701,5056542.866,2359011.458,1790.853
210555,701,5056540.349,2359011.464,1795.667
210203,701,5056542.497,2359011.477,1793.958
210334,701,5056541.398,2359011.507,1792.884
210615,701,5056540.586,2359011.51,1796.227
210282,701,5056542.194,2359011.515,1796.237
62614,701,5056542.951,2359011.526,1790.577
210556,701,5056540.462,2359011.557,1796.188
210476,701,5056541.144,2359011.576,1793.055
210283,701,5056542.287,2359011.589,1796.239
62615,701,5056543.032,2359011.598,1790.457
210474,701,5056541.194,2359011.602,1796.244
210416,701,5056540.713,2359011.603,1796.797
210333,701,5056541.554,2359011.609,1796.24
210205,701,5056542.663,2359011.609,1793.529
210557,701,5056540.556,2359011.623,1796.154
62853,701,5056542.708,2359011.642,1792.291
210284,701,5056542.381,2359011.655,1796.24
62617,701,5056543.128,2359011.665,1790.351
62854,701,5056542.72,2359011.668,1790.448
210417,701,5056540.793,2359011.673,1796.714
210475,701,5056541.289,2359011.676,1796.226
210335,701,5056541.647,2359011.679,1796.24
210399,701,5056541.989,2359011.689,1794.997
210558,701,5056540.649,2359011.697,1796.192
210285,701,5056542.475,2359011.729,1796.245
62619,701,5056543.209,2359011.735,1790.253
210418,701,5056540.89,2359011.744,1796.602
210336,701,5056541.726,2359011.746,1796.235
62578,701,5056543.576,2359011.758,1789.262
210419,701,5056540.896,2359011.761,1795.002
210559,701,5056540.742,2359011.771,1796.233
210400,701,5056542.132,2359011.796,1796.228
62621,701,5056543.305,2359011.802,1790.155
210286,701,5056542.569,2359011.803,1796.24
62857,701,5056542.908,2359011.816,1790.438
210477,701,5056541.476,2359011.824,1796.227
210420,701,5056540.99,2359011.827,1795.011
210560,701,5056540.836,2359011.845,1796.233
62623,701,5056543.386,2359011.877,1790.032
210287,701,5056542.647,2359011.877,1796.241
210478,701,5056541.57,2359011.89,1796.225
62581,701,5056543.744,2359011.891,1788.763
63284,701,5056541.901,2359011.9,1791.429
210561,701,5056540.914,2359011.915,1796.254
62625,701,5056543.454,2359011.931,1789.119
210401,701,5056542.304,2359011.932,1796.243
210288,701,5056542.741,2359011.943,1796.243
62583,701,5056543.827,2359011.958,1788.552
210479,701,5056541.648,2359011.96,1796.244
210422,701,5056541.162,2359011.971,1794.982
210402,701,5056542.348,2359011.973,1795.004
210404,701,5056542.34,2359011.975,1792.705
210562,701,5056541.005,2359011.984,1796.353
62627,701,5056543.539,2359011.999,1788.845
210421,701,5056541.211,2359012.008,1796.215
210289,701,5056542.82,2359012.009,1796.218
62199,701,5056545.103,2359012.024,1781.415
63204,701,5056542.394,2359012.026,1791.748
62584,701,5056543.912,2359012.027,1788.276
210403,701,5056542.42,2359012.03,1794.626
210423,701,5056541.255,2359012.045,1795.012
210563,701,5056541.102,2359012.055,1796.24
62202,701,5056545.164,2359012.073,1780.152
62863,701,5056543.248,2359012.078,1789.293
210290,701,5056542.929,2359012.087,1796.232
62585,701,5056544.01,2359012.098,1788.09
62201,701,5056545.198,2359012.098,1781.381
210337,701,5056542.195,2359012.108,1796.235
210564,701,5056541.18,2359012.125,1796.236
210292,701,5056542.969,2359012.127,1795.168
210480,701,5056541.865,2359012.138,1794.976
210338,701,5056542.224,2359012.141,1794.998
210340,701,5056542.227,2359012.15,1792.889
62204,701,5056545.262,2359012.152,1779.969
210291,701,5056543.008,2359012.154,1796.196
210566,701,5056541.224,2359012.162,1795.032
62203,701,5056545.293,2359012.176,1781.344
62587,701,5056544.1,2359012.179,1788.227
63287,701,5056542.273,2359012.191,1791.576
62274,701,5056544.871,2359012.192,1781.353
210565,701,5056541.274,2359012.195,1796.236
210294,701,5056543.051,2359012.198,1795.034
210339,701,5056542.304,2359012.208,1794.919
62866,701,5056543.403,2359012.212,1788.671
62205,701,5056545.349,2359012.217,1779.627
210293,701,5056543.101,2359012.228,1796.208
210568,701,5056541.318,2359012.232,1795.007
210481,701,5056542.023,2359012.249,1796.237
62588,701,5056544.207,2359012.256,1788.341
210296,701,5056543.145,2359012.268,1795.001
210567,701,5056541.368,2359012.269,1796.233
62276,701,5056544.989,2359012.28,1781.663
62207,701,5056545.421,2359012.28,1778.527
210341,701,5056542.412,2359012.285,1794.976
210482,701,5056542.068,2359012.286,1794.993
210405,701,5056542.757,2359012.294,1796.235
62632,701,5056543.933,2359012.299,1789.401
